last_nm,first_nm,middle_nm,obsrvd_behavior,cadet_company,year
,,,and political orientation are equally predictive of,,
,,,"women’s and men’s support for indirect political aggression,",,
,,,ruling these predictors out as potential mechanisms,,
,,,explaining the gender gap. Threat perceptions and political,,
,,,"orientation, however, can potentially explain",,
,,,women’s and men’s similar support for direct political,,
,,,"aggression, as no gender differences were found in threat",,
,,,"perceptions, and only minor differences were found in",,
,,,political orientation (as indicated in the bivariate correlations).,,
,,,"Indeed, the past years have witnessed a conservative",,
,,,shift in Israeli public opinion (Getmansky &,,
,,,"Zeitzoff, 2014), as well as an increase in threat perceptions",,
,,,due to continuous exposure to conflict-related violence.,,
,,,Insofar as women and men in the Israeli context,,
,,,do not differ in their levels of threat perceptions and,,
,,,"rightist orientation, these factors may account for their",,
,,,"similar levels of support for direct political aggression,",,
,,,but not indirect political aggression.,,
,,,Study 2,,
,,,Given that our initial hypotheses regarding direct and,,
,,,"indirect political aggression were supported, we proceeded",,
,,,to test additional mechanisms that might explain,,
,,,gender differences (and lack thereof) in support for different,,
,,,types of political aggression. We consider two such,,
,,,salient factors in the context of protracted conflict: militarism,,
,,,and emotions towards the rival in conflict. In the,,
,,,"context of conflict, societies as a whole often become",,
,,,relatively militarized. The extensive literature on militarism,,
,,,and gender often examines militarism’s effect on,,
,,,gender relations (for example norms of masculinity and,,
,,,"femininity, or gender-based violence) but less on",,
,,,women’s and men’s attitudes toward out-groups in conflict,,
,,,"(for a few examples: Adelman, 2003; Cockburn,",,
,,,"2010; Enloe, 2000; McEnaney, 2000; Sjoberg & Via,",,
,,,"2010). In Israel, although women’s positions in the army",,
,,,"remain mostly confined to non-combat roles, their duration",,
,,,"of service is shorter than their male counterparts,",,
,,,and they may be more easily exempted from the army,,
,,,"than men due to marriage or motherhood (Golan,",,
,,,"2015), the fact remains that most Jewish Israeli women",,
,,,"serve in the army and are socialized into a typically masculinist,",,
,,,"certainly hawkish, institution. By conforming to",,
,,,an overwhelmingly masculinist militaristic culture in,,
,,,"their behaviors (Sasson-Levy, 2002) and by going",,
,,,"through the same system of military conscription, Israeli",,
,,,women may also align more closely with their male,,
,,,counterparts in terms of their attitudes towards militarism,,
,,,and political aggression.,,
,,,Table II. Multiple regressions with interactions predicting,,
,,,social distancing and exclusionism (Study 1),,
,,,Social,,
,,,distancing Exclusion,,
,,,Variable name b (s.e.) b (s.e.),,
,,,Female .20 (.05)*** .20 (.05)***,,
,,,Leftist orientation –.46 (.05)*** –.45 (.05)***,,
,,,Threat perceptions .36 (.03)*** .45 (.02)***,,
,,,Age .00 (.00) .00 (.00),,
,,,Less than high-school,,
,,,education,,
,,,.28 (.16) –.22 (.15),,
,,,High-school education .34 (.07)*** .38 (.06)***,,
,,,Post high-school education .24 (.07)** .21 (.06)**,,
,,,Below average income .18 (.06)** .12 (.06)*,,
,,,Average income –.09 (.07) –.00 (.06),,
,,,Year 2003 .11 (.07) .11 (.06),,
,,,Year 2004 .15 (.07)* .18 (.06)**,,
,,,Secular –.99 (.11)*** –.50 (.10)***,,
,,,Observant –.68 (.11)*** –.29 (.10)**,,
,,,Religious –.42 (.13)** –.22 (.11)* –,,
,,,Gender * Leftist,,
,,,orientation,,
,,,.06 (.07) .07 (.06),,
,,,Gender * Threat,,
,,,perceptions,,
,,,.05 (.04) .02 (.03),,
,,,R2 (adjusted) .49 (.11) .56 (.98),,
,,,Cells contain unstandardized parameter estimates with standard,,
,,,"errors in parentheses. *p < 0.05, **p < 0.01, ***p < 0.001.",,
,,,6 Continuous variables were centered prior to conducting the,,
,,,analyses.,,
,,,Ben Shitrit et al. 739,,
,,,Long-term intergroup conflicts are also saturated with,,
,,,negative intergroup emotions that powerfully shape society,,
,,,"members’ attitudes and behaviors, including their support",,
,,,"for political aggression (Bar-Tal, Halperin & DeRivera,",,
,,,2007). Although negative emotions towards the rival in,,
,,,"conflict, such as anger and fear, play a major role in initiating",,
,,,"and maintaining intergroup conflicts, each emotion is",,
,,,linked to a separate behavioral intent: whereas fear is generally,,
,,,associated with moving away (avoidance) from the,,
,,,"threatening out-group, anger is generally associated with",,
,,,"moving toward (attack) the threatening agent, or towards",,
,,,whoever is perceived to be responsible for not eliminating,,
,,,"the threat (Cheung-Blunden &Blunden, 2008;Halperin,",,
,,,"2015). In terms of direct and indirect political aggression,",,
,,,fear of the rival in conflict is expected to be associated with,,
,,,exclusion and distancing from the members of the rival,,
,,,"group, whereas anger towards the rival is expected to be",,
,,,associated with direct forms of political aggression.,,
,,,Considering the important role of militaristic attitudes,,
,,,and emotions in predicting different types of aggression in,,
,,,"the context of protracted conflict, we examine their role as",,
,,,potential explanatory mechanisms in the relationship,,
,,,"between gender and support for political aggression,",,
,,,alongside threat perceptions and political orientation.,,
,,,"In Study 2, we therefore examine the role of gender in",,
,,,"predicting direct and indirect political aggression, controlling",,
,,,"for the effects of political orientation, threat perceptions,",,
,,,"militarism, and emotions towards the rival in",,
,,,"conflict. Consistent with the results of Study 1, we predict",,
,,,that gender will not predict support for direct political,,
,,,"aggression in the context of protracted conflict, but will",,
,,,"significantly predict support for indirect political aggression,",,
,,,even when controlling for other central predictors.,,
,,,We expect that insignificant gender differences in militarism,,
,,,in the context of protracted conflict may function as,,
,,,potential explanation for the absence of gender differences,,
,,,"in support for direct political aggression. In addition, given",,
,,,the strong empirical link between anger towards the rival in,,
,,,"conflict and direct political aggression (Halperin, 2015),",,
,,,and insofar as anger predicts men’s and women’s support,,
,,,"for direct political aggression equally well, we expect that",,
,,,similarity in the levels of anger amongmen and women can,,
,,,account for gender similarities in support for direct political,,
,,,"aggression. Finally, given the strong empirical link between",,
,,,"fear and indirect political aggression (Halperin, 2015), we",,
,,,also contend that fear of the rival in conflictmay play a role,,
,,,in explaining the gender gap in support for indirect political,,
,,,"aggression, in the context of the Israeli–Palestinian conflict.",,
,,,"More specifically, gender differences in support for indirect",,
,,,political aggression may be attributed to differences in the,,
,,,extent to which women’s andmen’s support for this type of,,
,,,political aggression is driven by fear. Women are often,,
,,,constructed in the discourse of groups in conflict as particularly,,
,,,"targeted, vulnerable, and in need of protection (Elshtain,",,
,,,1987). If women internalize this sense of enhanced,,
,,,"vulnerability, it is possible that we might find higher prevalence",,
,,,of fear among women in the context of conflict.,,
,,,Method and measures,,
,,,The data were collected during 2007 as part of a larger,,
,,,project on violence and extremism. To achieve a representative,,
,,,"sample of adult Israeli Jews, the study employed",,
,,,a similar sampling method to that used in the present,,
,,,Study 1. The final sample consisted of 807 respondents.7,,
,,,Because the research was conducted with additional aims,,
,,,"in mind, the findings for the present study are exploratory.",,
,,,We designed a closed-ended questionnaire incorporating,,
,,,the following measures:,,
,,,Support for direct political aggression8 was measured,,
,,,using the same three items used in Study 1 ( ¼ .69).,,
,,,Support for indirect political aggression was assessed,,
,,,using the four-item measure of Exclusionism towards,,
,,,PCIs that used in Study 1 ( ¼ .74).,,
,,,Threat perceptions were measured using the same,,
,,,three-item scale used in Study 1 ( ¼ .88).,,
,,,Emotions towards the rival in conflict were assessed,,
,,,"using two items, tapping the extent to which PCIs and",,
,,,their leaders make participants feel fear and anger. Participants,,
,,,were asked to rate the degree to which they were,,
,,,feeling fear/anger on a 1 (strongly disagree) to 6 (strongly,,
,,,agree) scale. Single-item measurement has been used in,,
,,,many studies and has been shown to be reliable way of,,
,,,"differentiating discrete emotions (Halperin, 2015).",,
,,,Militarism was assessed by measuring participants’,,
,,,agreement on a 1 (strongly disagree) to 6 (strongly,,
,,,agree) scale with the following item: ‘the only way to,,
,,,achieve anything in the Middle-east is by using force’,,
,,,"(Kimmerling, 1993).",,
,,,"Political orientation, Gender, and Demographic covariates",,
,,,were measured and coded as they were in Study 1.,,
,,,7 See the Online appendix for details about survey sampling and,,
,,,procedure.,,
,,,8 To confirm the discriminant and divergent validity of the direct,,
,,,"political aggression scale, we conducted an exploratory factor analysis",,
,,,"using Varimax rotation and Kaiser normalization, for the three items of",,
,,,the direct aggression scale along with the four items of the exclusionism,,
,,,"scale. As expected, the analysis yielded two components with eigenvalues",,
,,,greater than 1 that accounted for more than 60% of the variance.,,
,,,"Loadings (see Online appendix, Table 4) showed that the direct",,
,,,political aggression items loaded highly onto the first component (>,,
,,,".72), and the indirect political aggression (exclusionism) items loaded",,
,,,strongly onto the second factor (> .69).,,
,,,740 journal of PEACE RESEARCH 54(6),,
,,,Results,,
,,,"Means, standard deviations, and correlations among all",,
,,,variables are presented in Table 5 in the Online appendix.,,
,,,"As predicted, gender was positively associated with",,
,,,indirect political aggression (women supporting exclusionism,,
,,,"more than men), but not with direct political",,
,,,"aggression. Further, gender was not significantly associated",,
,,,with either threat perceptions or political orientation.,,
,,,Gender was also not significantly associated with,,
,,,"militarism and anger towards PCIs, but positively associated",,
,,,"with fear of PCIs, with women reporting higher",,
,,,fear of PCIs than men. Fear and anger were only moderately,,
,,,"related, further supporting the distinct nature of",,
,,,these two types of negative emotions.,,
,,,The role of gender in predicting direct and indirect,,
,,,political aggression,,
,,,"In light of these results, we conducted a multiple regression",,
,,,analysis to examine the role of gender in predicting,,
,,,"support for direct and indirect political aggression, controlling",,
,,,"for all predictors (threat perceptions, political",,
,,,"orientation, emotions towards PCIs, and militarism),",,
,,,as well as for the demographic covariates.,,
,,,"As predicted, the analyses revealed no significant main",,
,,,effect for gender on support for direct political aggression,,
,,,"(B¼.03, SE¼.08, b¼.01, t¼.35, p¼.727), indicating",,
,,,that women and men did not differ in their support for,,
,,,"direct political aggression, even when controlling for all",,
,,,"other potential predictors. However, when exclusionism",,
,,,"was the outcome variable, the analyses revealed a significant",,
,,,"main effect for gender (B ¼ .35, SE ¼ .07, b ¼ .12,",,
,,,"t ¼ 4.85, p ¼ .000), such thatwomen were more supportive",,
,,,"of exclusionism than men, even when controlling for",,
,,,all other potential predictors (see Table III).,,
,,,To examine whether differences in the effects of,,
,,,our predictors on men’s and women’s support for,,
,,,indirect political aggression can explain this gender,,
,,,"gap, we conducted a multiple regression analysis, in",,
,,,which exclusionism was regressed on the interaction,,
,,,between gender and each of the main predictors,,
,,,"(threat perceptions, political orientation, anger, fear,",,
,,,"and militarism), controlling for their main effects and",,
,,,the demographic covariates.,,
,,,"As predicted, results revealed a significant main effect",,
,,,"for gender on exclusionism, with women scoring higher",,
,,,"than men, controlling for all other predictors. Results",,
,,,also revealed a significant interaction between gender,,
,,,and fear in predicting support for exclusionism (B ¼,,
,,,".10, SE ¼ .04, b ¼ .09, t ¼ 2.32, p ¼ .021). Moreover,",,
,,,fear of PCIs has a stronger impact on women’s,,
,,,"exclusionism (B ¼ .25, SE ¼ .04, b ¼ .34, t ¼ 7.30,",,
,,,"p ¼ .000) compared to men’s (B ¼ .13, SE ¼ .05, b ¼",,
,,,".16, t ¼ 2.87, p ¼ .004). All other interactions were not",,
,,,"significant, indicating that all other variables predict",,
,,,"exclusionism equally well for men and women, and can",,
,,,therefore not account for the difference in men’s and,,
,,,women’s support for indirect political aggression9 (see,,
,,,Table IV).,,
,,,Table III. Multiple regressions predicting direct political,,
,,,aggression and exclusionism (Study 2),,
,,,Direct political,,
,,,aggression Exclusionism,,
,,,Variable name b (s.e.) b (s.e.),,
,,,Female .03 (.08) .35 (.07)***,,
,,,Leftist orientation –.03 (.05) –.24 (.05)***,,
,,,Threat perceptions .13 (.03)*** .51 (.03)***,,
,,,Anger toward PCIs –.02 (.03) .13 (.03)***,,
,,,Fear of PCIs .05 (.02)* –.04 (.02),,
,,,Militarism .02 (.02) .07 (.02)**,,
,,,Age .00 (.00) .00 (.00),,
,,,Less than high-school,,
,,,education,,
,,,.58 (.20)* .09 (.19),,
,,,High-school education –.15 (.09) .00 (.09),,
,,,Post high-school education –.16 (.09) .05 (.09),,
,,,Below average income .22 (.09)* –.01 (.09),,
,,,Average income .14 (.10) –.13 (.09),,
,,,Secular .20 (.13) –.24 (.13),,
,,,Observant .27 (.14) –.35 (.13)*,,
,,,Religious –.04 (.15) –.16 (.15),,
,,,R2 (adjusted) .11 (.88) .64 (.84),,
,,,Cells contain unstandardized parameter estimates with standard,,
,,,"errors in parentheses. *p < 0.05, **p < 0.01, ***p < 0.001.",,
,,,9 Following previous studies on gender differences in attitudes,,
,,,"(Harteveld et al., 2015; Lietaert et al., 2015), we also examined",,
,,,whether gender differences in the level of fear of PCIs can explain,,
,,,the gender gap in support for indirect political aggression (i.e.,,
,,,"mediation hypothesis). To test this hypothesis, we conducted a",,
,,,"two-step hierarchical linear regression analysis. In the first step,",,
,,,"exclusionism was regressed on gender, controlling for the",,
,,,demographic covariates. This analysis revealed a significant main,,
,,,"effect for gender (B ¼ .30, SE ¼ .10, b ¼ .11, t ¼ 3.01, p ¼",,
,,,".003), such that women report higher exclusionism than men. In",,
,,,"the second step, fear of PCIs was also entered as a predictor of",,
,,,"exclusionism, significantly reducing the regression coefficient of",,
,,,"gender (B ¼ .11, SE ¼ .10, b ¼ .04, t ¼ 1.10, p ¼ .271). These",,
,,,results suggest that the gender gap in exclusionism may be attributed,,
,,,to differences in the distribution of fear of PCIs among men and,,
,,,"women, further supporting the role of fear as an explanatory",,
,,,mechanism underlying the gender gap in support for indirect,,
,,,political aggression.,,
,,,Ben Shitrit et al. 741,,
,,,The findings of Study 2 provide further support for,,
,,,the hypothesized gender gap in support for indirect,,
,,,political aggression (with women more supportive of,,
,,,"exclusionism than men), and the hypothesized similarity",,
,,,"in women’s and men’s support for direct political aggression,",,
,,,"in the context of protracted conflict. Furthermore,",,
,,,these findings shed more light on mechanisms that can,,
,,,potentially explain these gender differences (or lack,,
,,,thereof). Alongside the potential role of threat perceptions,,
,,,and right-wing political orientation in explaining,,
,,,the lack of gender differences in direct political aggression,,
,,,"(replicated in both studies), the findings of Study 2",,
,,,suggest that (1) fear of PCIs affects women’s support for,,
,,,indirect political aggression more than men’s. Insofar as,,
,,,women reported more fear of PCIs than men (as indicated,,
,,,"by the bivariate correlations), this difference can",,
,,,account for women’s higher support for indirect political,,
,,,aggression; (2) anger towards PCIs and militarism can,,
,,,shed more light on why women and men do not differ in,,
,,,their support for direct political aggression. As men and,,
,,,"women report similar levels of anger towards PCIs, as",,
,,,well as similar levels of militarism (indicated by the,,
,,,"bivariate correlations), and insofar as their support for",,
,,,direct political aggression is equally affected by these,,
,,,"variables, they can both potentially account for this",,
,,,absence of a gender gap.,,
,,,Discussion,,
,,,This article emphasizes the complex association between,,
,,,gender and support for different types of political aggression,,
,,,in the context of protracted conflict. Our findings,,
,,,suggest that gender has a unique effect on indirect forms,,
,,,of political aggression in the context of the Israeli–Palestinian,,
,,,"conflict, so that women are more supportive of",,
,,,social distancing and exclusion towards PCIs as compared,,
,,,"to men. Nevertheless, women and men did not",,
,,,differ in their support for direct political aggression,,
,,,against government officials.,,
,,,One way of explaining these findings is to suggest that,,
,,,women become just as politically aggressive as men in,,
,,,"contexts of protracted intergroup conflict; just as men,",,
,,,"they are susceptible to rising threat perceptions, more",,
,,,"hawkish political orientations, militaristic attitudes, and",,
,,,"anger towards the rival in conflict, all of which are considered",,
,,,significant predictors of direct forms of political,,
,,,"aggression in the extant literature. Yet, as the feminist",,
,,,"literature has shown, in conflict contexts women are",,
,,,often constructed as uniquely vulnerable targets in need,,
,,,"of protection from the rival group, and are assigned the",,
,,,additional role of ‘boundary markers’ and symbolic ‘border,,
,,,guards’ that socially separate one community from its,,
,,,‘other’. This link between a sense of vulnerability and,,
,,,"fear of the other, for which separation, distancing, and",,
,,,marking boundaries is often presented as an answer in,,
,,,"communalist discourse, might explain our results. Indirect",,
,,,"political aggression is an acceptable, socially sanctioned",,
,,,way in which women can address the fear they have been,,
,,,conditioned to feel toward the ‘other’. The findings of the,,
,,,present research augment our understanding of the ways,,
,,,in which gender and aggression intersect in violent conflicts.,,
,,,Our distinction between direct political aggression,,
,,,"on the one hand, and indirect aggression on the other,",,
,,,sheds light on important gendered dynamics that would,,
,,,otherwise have remained obscure.,,
,,,"As with any research, our work has limitations. First,",,
,,,generalizing from Israel to other contexts of conflict,,
,,,"requires further empirical work. Yet, Israel is a relevant",,
,,,"case, sharing civilians’ exposure to violence with other",,
,,,"regions of conflict, as well as, increasingly, with Europe,",,
,,,"the United States, and other regions – given growing",,
,,,threats of international terrorism and rising militarism,,
,,,"of societies through the war on terror (Enloe, 2016).",,
,,,Future studies should examine these relationships in,,
,,,other contexts of conflict.,,
,,,Table IV. Multiple regression with interactions predicting,,
,,,exclusionism (Study 2,,
,,,Exclusionism,,
,,,Variable name b (s.e.),,
,,,Female .36 (.07)***,,
,,,Leftist orientation –.25 (.07)***,,
,,,Threat perceptions .54 (.04)***,,
,,,Anger toward PCIs .13 (.04)**,,
,,,Fear of PCIs –.09 (.03)**,,
,,,Militarism .05 (.03),,
,,,Age .00 (.00),,
,,,Less than high-school education .08 (.19),,
,,,High-school education .00 (.09),,
,,,Post high-school education .05 (.09),,
,,,Below average income .01 (.09),,
,,,Average income –.12 (.09),,
,,,Secular –.24 (.13),,
,,,Observant –.36 (.13)**,,
,,,Religious –.16 (.15),,
,,,Gender * Leftist orientation .01 (.10),,
,,,Gender * Threat perceptions –.07 (.06),,
,,,Gender * Anger .01 (.05),,
,,,Gender * Fear .10 (.04)*,,
,,,Gender * Militarism .03 (.04),,
,,,R2 (adjusted) .64 (.84),,
,,,Cells contain unstandardized parameter estimates with standard,,
,,,"errors in parentheses. *p < 0.05, ** p < 0.01, *** p < 0.001.",,
,,,742 journal of PEACE RESEARCH 54(6),,
,,,"Notwithstanding its limitations, our research builds",,
,,,on the established literature straddling feminist theory,,
,,,and issues of political aggression and violent conflicts. To,,
,,,"the best of our knowledge, we are the first to undertake a",,
,,,systematic quantitative examination of the association,,
,,,between gender and political aggression of both direct,,
,,,"and indirect forms, in the context of protracted conflict.",,
,,,There are two ways in which this article complements,,
,,,"the feminist literature. First, most of the existing work on",,
,,,"this subject is based on qualitative case studies, rather",,
,,,than large-N quantitative research.10 Our article demonstrates,,
,,,that theory and insight developed in this literature,,
,,,find significant support also when examined through a,,
,,,"quantitative lens. In addition, the existing research on",,
,,,gender and group identity in conflict has generally,,
,,,focused on the way women are ‘used’ as targets of nationalist,,
,,,discourses that seek to recruit them to the role of,,
,,,symbolically erecting boundaries between rival groups.,,
,,,Our research shows that women are active agents in this,,
,,,process. Possibly due to the fear of group identity boundary,,
,,,"trespassing, which hegemonic communalist discourses",,
,,,"instill in women, they themselves, more than",,
,,,"men, seem to support ideas of group separation, exclusion,",,
,,,and social distance.,,
,,,"On the practical level, our research points to the",,
,,,importance of understanding women’s role in the development,,
,,,of peace in situations of ongoing conflict.,,
,,,Understanding how gender interplays with different,,
,,,forms of political aggression will help researchers and,,
,,,policymakers to better grasp the causes of aggression and,,
,,,form nuanced and long-lasting solutions to conflict,,
,,,"(Aolain, Haynes & Cahn, 2011; Vogel, Porter &",,
,,,"Kebbell, 2014). Overlooking or underestimating",,
,,,"women’s experiences and roles in political aggression,",,
,,,"particularly within settings of protracted conflict, may",,
,,,result in isolating them post-conflict and cause destabilization,,
,,,or a challenge to peace-consolidation efforts,,
,,,"(Mackenzie, 2012; Mazurana & Carlson, 2004;",,
,,,"McEvoy, 2009; Thomas & Bond, 2015). Our findings",,
,,,question the targeting of men in attempts to address and,,
,,,"reduce acts of direct political aggression, or support",,
,,,"thereof. As our findings suggest, women and men do",,
,,,"not differ in their support for direct political aggression,",,
,,,and thus may both have a role in facilitating public,,
,,,support for such acts. Addressing gender differences in,,
,,,support for and participation in indirect forms of political,,
,,,aggression is another crucial lesson arising from this,,
,,,"study, which should inform conflict resolution and",,
,,,peacebuilding efforts that seek to address not only direct,,
,,,"aggression, but also its attendant social forms in intergroup",,
,,,conflict situations.,,
,,,"Finally, examination of the Israeli case illuminates",,
,,,much more than just the fact that women bear no essential,,
,,,relationship to peace and nonviolence. It is crucial to,,
,,,consider that men and women may possess similar motivations,,
,,,for supporting certain forms of political aggression,,
,,,"(direct aggression), while holding different",,
,,,motivations to support and engage in other forms of,,
,,,aggression (indirect) in the context of violent conflicts.,,
,,,"Thus, as women’s political activity and agency increases",,
,,,"throughout the world, understanding contextual genderbased",,
,,,similarities and differences in support for different,,
,,,types of political aggression is crucial.,,
,,,Replication data,,
,,,The Online appendix is available at https://www.prio,,
,,,.org/JPR/Datasets/.,,
,,,Acknowledgements,,
,,,The name order is alphabetical; all authors contributed,,
,,,equally to this article. We thank participants of the ‘New,,
,,,"Approaches to Gender Roles in Peace-Making’ seminar,",,
,,,"held at Hebrew University, Galia Golan on 17 June",,
,,,"2014, and the three anonymous reviewers for their very",,
,,,useful comments.,,
,,,Funding,,
,,,"This research was made possible, in part, by a grant from",,
,,,"the National Security Studies Center (NSSC), Haifa",,
,,,University.,,
,,,References,,
,,,"Adelman, Madelaine (2003) The military, militarism, and the",,
,,,militarization of domestic violence. Violence AgainstWomen,,
,,,9(9): 1118–1152.,,
,,,"Ajzen, Icek (2001) Nature and operation of attitudes. Annual",,
,,,Review of Psychology 52(1): 27–58.,,
,,,"Al-Ali, Nadje (2000) Secularism, Gender and the State in the",,
,,,Middle East: The Egyptian Women’s Movement. Cambridge:,,
,,,Cambridge University Press.,,
,,,"10 Feminist authors have tended to privilege case studies, narrative,",,
,,,"experiential, and other forms of qualitative analysis for both practical",,
,,,"and theoretical reasons. Often, high quality quantitative data is not",,
,,,"available or is hard to collect in areas of protracted conflict. Moreover,",,
,,,"this literature critically challenges the conflation of sex with gender,",,
,,,"and often aims to interrogate the social construction of gender, which",,
,,,requires more interpretive work and for which reductive statistical,,
,,,"categories are often inadequate. However, see Sjoberg & Wood",,
,,,"(2015), Cohen (2013), and Thomas & Bond (2015) for examples",,
,,,of quantitative work in this vein.,,
,,,Ben Shitrit et al. 743,,
,,,"Alison, Miranda (2004) Women as agents of political",,
,,,violence: Gendering security. Security Dialogue 35(4):,,
,,,447–463.,,
,,,"Alison, Miranda (2007) Wartime sexual violence: Women’s",,
,,,human rights and questions of masculinity. Review of International,,
,,,Studies 33(1): 75–90.,,
,,,"Anderson, Craig A & L Rowell Huesmann (2003) Human",,
,,,aggression: A social-cognitive view. In: Michael A Hogg &,,
,,,Joel Cooper (eds) Handbook of Social Psychology. Thousand,,
,,,"Oaks, CA: Sage, 296–323.",,
,,,"Anthias, Floya & Nira Yuval-Davis, eds (1989) Woman-Nation-",,
,,,State. New York: St Martin’s.,,
,,,"Aolain, Ni Fionnuala; Dina Fransesca Haynes & Naomi Cahn",,
,,,"(2011) On the Frontlines: Gender, War and the Post-Conflict",,
,,,Process. Oxford: Oxford University Press.,,
,,,"Archer, John (2004) Sex differences in aggression in real-world",,
,,,settings: A meta-analytic review. Review of General Psychology,,
,,,8(4): 291–322.,,
,,,"Bagozzi, Richard P; Youjae Yi & Lynn W Phillips (1991)",,
,,,Assessing construct validity in organizational research.,,
,,,Administrative Science Quarterly 36(3): 421–458.,,
,,,"Bar-Tal, Daniel & Yona Teichman (2005) Stereotypes and",,
,,,Prejudice in Conflict: Representations of Arabs in Israeli Jewish,,
,,,Society. Cambridge: Cambridge University Press.,,
,,,"Bar-Tal, Daniel; Eran Halperin & Joseph De Rivera (2007)",,
,,,Collective emotions in conflict situations: Societal implications.,,
,,,Journal of Social Issues 63(2): 441–460.,,
,,,"Benjamin, Arlin J, Jr (2006) The relationship between",,
,,,right-wing authoritarianism and attitudes toward violence:,,
,,,Further validation of the Attitudes Toward Violence Scale.,,
,,,Social Behavior and Personality: An International Journal,,
,,,34(8): 923–926.,,
,,,"Ben Shitrit, Lihi (2015) Righteous Transgressions: Women’s",,
,,,"Activism on the Israeli and Palestinian Religious Right. Princeton,",,
,,,NJ: Princeton University Press.,,
,,,"Bjorklund, David F & Todd K Shackelford (1999) Differences",,
,,,in parental investment contribute to important differences,,
,,,between men and women. Current Directions in,,
,,,Psychological Science 8(3): 86–89.,,
,,,"Bloom, Mia (2012) Bombshell: Women and Terrorism. Philadelphia,",,
,,,PA: University of Pennsylvania Press.,,
,,,"Brooks, Deborah Jordan & Benjamin A Valentino (2011) A",,
,,,war of one’s own: Understanding the gender gap in support,,
,,,for war. Public Opinion Quarterly 75(2): 270–286.,,
,,,"Brown, Carly (2011) Rape as a weapon of war in the Democratic",,
,,,Republic of the Congo. Torture: Quarterly Journal on,,
,,,Rehabilitation of Torture Victims and Prevention of Torture,,
,,,22(1): 24–37.,,
,,,B’tselem (2010) 10 years to the second Intifada: A summary of,,
,,,data (http://www.Btselem.Org/Press_Releases/20100927).,,
,,,"Buss, David M& Todd K Shackelford (1997) Human aggression",,
,,,in evolutionary psychological perspective. Clinical Psychology,,
,,,Review 17(6): 605–619.,,
,,,"Canetti-Nisim, Daphna; Gal Ariely & Eran Halperin (2008)",,
,,,"Life, pocketbook, or culture: The role of perceived security",,
,,,threats in promoting exclusionist political attitudes toward,,
,,,minorities in Israel. Political Research Quarterly 61(1):,,
,,,90–103.,,
,,,"Canetti, Daphna; Eran Halperin, Stevan E Hobfoll, Oren",,
,,,"Shapira & Sivan Hirsch-Hoefler (2009) Authoritarianism,",,
,,,perceived threat and exclusionism on the eve of the disengagement:,,
,,,Evidence from Gaza. International Journal of,,
,,,Intercultural Relations 33(6): 463–474.,,
,,,"Caprioli, Mary & Mark A Boyer (2001) Gender, violence, and",,
,,,international crisis. Journal of Conflict Resolution 45(4):,,
,,,503–518.,,
,,,"Card, Noel A; Brian D Stucky, Gita M Sawalani & Todd D",,
,,,Little (2008) Direct and indirect aggression during childhood,,
,,,and adolescence: A meta-analytic review of gender,,
,,,"differences, intercorrelations, and relations to maladjustment.",,
,,,Child Development 79(5): 1185–1229.,,
,,,"Cheung-Blunden, Violet & Bill Blunden (2008) The emotional",,
,,,"construal of war: Anger, fear, and other negative",,
,,,emotions. Peace and Conflict 14(2): 123–150.,,
,,,"Cockburn, Cynthia (2010) Gender relations as causal in militarization",,
,,,and war: A feminist standpoint. International,,
,,,Feminist Journal of Politics 12(2): 139–157.,,
,,,"Cohen, Dara Kay (2013) Female combatants and the perpetration",,
,,,of violence: Wartime rape in the Sierra Leone civil,,
,,,war. World Politics 65(3): 383–415.,,
,,,"Cole, Eve Browning & Susan Margaret Coultrap-McQuin",,
,,,(1992) Explorations in Feminist Ethics: Theory and Practice.,,
,,,"Bloomington, IN: Indiana University Press.",,
,,,"Conover, Pamela Johnston & Virginia Sapiro (1993) Gender,",,
,,,"feminist consciousness, and war. American Journal of Political",,
,,,Science 37(4): 1079–1099.,,
,,,"Cragin, R Kim & Sara A Daly (2009) Women as Terrorists:",,
,,,"Mothers, Recruiters, and Martyrs. Santa Barbara, CA:",,
,,,ABC-CLIO.,,
,,,"Crandall, Christian S (1991) AIDS-related stigma and the lay",,
,,,sense of justice. Contemporary Social Psychology 15(2):,,
,,,66–67.,,
,,,"Crick, Nicki R (1997) Engagement in gender normative versus",,
,,,nonnormative forms of aggression: Links to,,
,,,social-psychological adjustment. Developmental Psychology,,
,,,33(4): 610–617.,,
,,,"Cunningham, Karla J (2003) Cross-regional trends in female",,
,,,terrorism. Studies in Conflict and Terrorism 26(3):,,
,,,171–195.,,
,,,"Daly, Martin & Margo Wilson (1988) Homicide. Hawthorne,",,
,,,NJ: Aldine de Gruyter.,,
,,,"Duckitt, John (2013) Introduction to the special section on",,
,,,authoritarianism in societal context: The role of threat.,,
,,,International Journal of Psychology 48(1): 1–5.,,
,,,"Eager, Paige Whaley (2008) From Freedom Fighters to",,
,,,Terrorists: Women and Political Violence. Hampshire:,,
,,,Ashgate.,,
,,,"Eichenberg, Richard C (2007) Gender differences in support",,
,,,for the use of military force in cross-national perspective:,,
,,,"The war system, modernization, and the universal logics of",,
,,,744 journal of PEACE RESEARCH 54(6),,
,,,military action (http://as.tufts.edu/politicalscience/sites/all/,,
,,,themes/asbase/assets/documents/eichenberg/genderDiffs,,
,,,Support.pdf).,,
